Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-12 03:28:44,gpt-5.6-terra,4897,0.0122425,61,0.000915,4958,0.013157499999999999
2,2026-07-12 03:28:53,gpt-5.6-terra,3918,0.009794999999999998,527,0.007905,4445,0.0177
3,2026-07-12 03:29:04,gpt-5.6-terra,9291,0.0232275,703,0.010544999999999999,9994,0.0337725
4,2026-07-12 03:30:00,gpt-5.6-terra,125787,0.3144675,4808,0.07211999999999999,130595,0.3865875
5,2026-07-12 03:33:17,gpt-5.6-terra,25813,0.06453249999999999,1176,0.01764,26989,0.0821725
6,2026-07-12 03:33:25,gpt-5.6-terra,7871,0.0196775,252,0.00378,8123,0.0234575
7,2026-07-12 03:33:31,gpt-5.6-terra,9936,0.02484,254,0.00381,10190,0.028650000000000002
8,2026-07-12 03:33:38,gpt-5.6-terra,8649,0.021622500000000003,226,0.00339,8875,0.025012500000000003
9,2026-07-12 03:33:48,gpt-5.6-terra,8343,0.0208575,592,0.008879999999999999,8935,0.0297375
10,2026-07-12 03:33:57,gpt-5.6-terra,8118,0.020295,257,0.0038550000000000004,8375,0.02415
11,2026-07-12 03:34:21,gpt-5.6-terra,37630,0.09407499999999999,716,0.01074,38346,0.10481499999999999
12,2026-07-12 03:34:23,gpt-5.6-terra,3045,0.0076124999999999995,103,0.001545,3148,0.009157499999999999
13,2026-07-12 03:34:24,gpt-5.6-terra,3026,0.0075650000000000005,102,0.00153,3128,0.009095
14,2026-07-12 03:35:20,gpt-5.6-terra,66682,0.16670500000000002,5868,0.08802,72550,0.25472500000000003
15,2026-07-12 03:35:42,gpt-5.6-terra,30795,0.0769875,2948,0.04422,33743,0.1212075
16,2026-07-12 03:38:55,gpt-5.6-terra,13467,0.0336675,731,0.010964999999999999,14198,0.044632500000000006
17,2026-07-12 03:39:01,gpt-5.6-terra,9995,0.024987500000000003,231,0.003465,10226,0.028452500000000002
18,2026-07-12 03:39:12,gpt-5.6-terra,12388,0.030969999999999998,318,0.00477,12706,0.035739999999999994
19,2026-07-12 03:39:20,gpt-5.6-terra,9652,0.024130000000000002,228,0.0034200000000000003,9880,0.02755
