algorithm,dataset,n_split_seeds,fixed_training_seed,metric,mean,sample_std,min,max,range,coefficient_of_variation
ALS,MovieLens100K,5,2026,NDCG@10,0.16285893667564522,0.004357807768953438,0.15538400870016975,0.16652021215502716,0.011136203454857413,0.026758174024140782
ALS,MovieLens100K,5,2026,Precision@10,0.14897654584221748,0.0023893443848746095,0.1450959488272921,0.15074626865671642,0.005650319829424322,0.01603839296559599
Pop,MovieLens100K,5,2026,NDCG@10,0.13783556036502667,0.004263522578489,0.1312958324120398,0.14251187281494956,0.011216040402909772,0.030931949398239567
Pop,MovieLens100K,5,2026,Precision@10,0.12113006396588485,0.0032724175383354935,0.1162046908315565,0.12452025586353944,0.008315565031982941,0.027015733594074047
