Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
32,2026-07-12 09:03:02,gpt-5.6-luna,2428,0.002428,172,0.001032,2600,0.00346
33,2026-07-12 09:03:33,gpt-5.6-luna,131378,0.131378,3022,0.018132,134400,0.14951
34,2026-07-12 09:03:44,gpt-5.6-luna,7602,0.007602,1812,0.010872,9414,0.018474
35,2026-07-12 09:06:55,gpt-5.6-luna,15048,0.015048,1064,0.006384000000000001,16112,0.021432
36,2026-07-12 09:06:58,gpt-5.6-luna,2839,0.002839,292,0.001752,3131,0.004591
37,2026-07-12 09:07:00,gpt-5.6-luna,2817,0.002817,116,0.000696,2933,0.003513
38,2026-07-12 09:07:05,gpt-5.6-luna,7673,0.007673,256,0.001536,7929,0.009209
39,2026-07-12 09:07:10,gpt-5.6-luna,2818,0.002818,142,0.0008520000000000001,2960,0.0036700000000000005
40,2026-07-12 09:07:11,gpt-5.6-luna,2837,0.002837,120,0.00072,2957,0.0035570000000000003
41,2026-07-12 09:07:13,gpt-5.6-luna,2822,0.002822,122,0.000732,2944,0.003554
42,2026-07-12 09:07:21,gpt-5.6-luna,7921,0.007921,441,0.002646,8362,0.010567
43,2026-07-12 09:07:35,gpt-5.6-luna,27739,0.027739,702,0.0042120000000000005,28441,0.031951
44,2026-07-12 09:07:39,gpt-5.6-luna,2818,0.002818,271,0.0016259999999999998,3089,0.004444
45,2026-07-12 09:07:40,gpt-5.6-luna,2835,0.002835,158,0.000948,2993,0.003783
46,2026-07-12 09:07:43,gpt-5.6-luna,2820,0.00282,88,0.000528,2908,0.0033480000000000003
47,2026-07-12 09:07:45,gpt-5.6-luna,2840,0.00284,261,0.0015660000000000001,3101,0.004406
48,2026-07-12 09:08:18,gpt-5.6-luna,87187,0.087187,3524,0.021144,90711,0.108331
49,2026-07-12 09:08:39,gpt-5.6-luna,45888,0.045888,2629,0.015774,48517,0.061661999999999995
50,2026-07-12 09:11:53,gpt-5.6-luna,27264,0.027264,1578,0.009468,28842,0.036732
51,2026-07-12 09:12:00,gpt-5.6-luna,11911,0.011911,393,0.002358,12304,0.014269
52,2026-07-12 09:12:02,gpt-5.6-luna,3154,0.003154,98,0.000588,3252,0.003742
53,2026-07-12 09:12:08,gpt-5.6-luna,9945,0.009945,267,0.001602,10212,0.011547
54,2026-07-12 09:12:09,gpt-5.6-luna,3155,0.003155,90,0.00054,3245,0.003695
55,2026-07-12 09:12:15,gpt-5.6-luna,8365,0.008365,261,0.0015660000000000001,8626,0.009930999999999999
56,2026-07-12 09:12:16,gpt-5.6-luna,3159,0.003159,111,0.000666,3270,0.003825
57,2026-07-12 09:12:27,gpt-5.6-luna,16016,0.016016,459,0.002754,16475,0.01877
58,2026-07-12 09:12:50,gpt-5.6-luna,49998,0.049998,811,0.004866,50809,0.054864
59,2026-07-12 09:12:52,gpt-5.6-luna,3155,0.003155,162,0.000972,3317,0.004127
60,2026-07-12 09:12:54,gpt-5.6-luna,3172,0.003172,162,0.000972,3334,0.004144
61,2026-07-12 09:12:55,gpt-5.6-luna,3157,0.003157,105,0.00063,3262,0.003787
62,2026-07-12 09:12:57,gpt-5.6-luna,3177,0.003177,162,0.000972,3339,0.004149
63,2026-07-12 09:13:18,gpt-5.6-luna,42514,0.042514,2531,0.015185999999999998,45045,0.0577
64,2026-07-12 09:13:34,gpt-5.6-luna,16087,0.016087,852,0.005112,16939,0.021199000000000003
65,2026-07-12 09:13:42,gpt-5.6-luna,10114,0.010114,643,0.0038580000000000003,10757,0.013972
66,2026-07-12 09:13:44,gpt-5.6-luna,2374,0.002374,102,0.000612,2476,0.002986
67,2026-07-12 09:13:51,gpt-5.6-luna,8751,0.008751,381,0.002286,9132,0.011037
68,2026-07-12 09:13:52,gpt-5.6-luna,2375,0.002375,118,0.000708,2493,0.003083
69,2026-07-12 09:13:59,gpt-5.6-luna,7412,0.007412,263,0.001578,7675,0.00899
70,2026-07-12 09:14:06,gpt-5.6-luna,6519,0.006519,306,0.001836,6825,0.008355
71,2026-07-12 09:14:12,gpt-5.6-luna,7072,0.007072,212,0.0012720000000000001,7284,0.008344
72,2026-07-12 09:14:14,gpt-5.6-luna,2400,0.0024,205,0.00123,2605,0.0036299999999999995
73,2026-07-12 09:14:15,gpt-5.6-luna,2375,0.002375,129,0.000774,2504,0.003149
74,2026-07-12 09:14:17,gpt-5.6-luna,2392,0.002392,111,0.000666,2503,0.003058
75,2026-07-12 09:14:19,gpt-5.6-luna,2377,0.002377,131,0.000786,2508,0.003163
76,2026-07-12 09:14:21,gpt-5.6-luna,2397,0.002397,159,0.000954,2556,0.003351
77,2026-07-12 09:14:58,gpt-5.6-luna,107283,0.107283,3876,0.023256,111159,0.13053900000000002
78,2026-07-12 09:18:06,gpt-5.6-luna,11547,0.011547,936,0.0056159999999999995,12483,0.017162999999999998
79,2026-07-12 09:18:12,gpt-5.6-luna,10077,0.010077,322,0.0019320000000000001,10399,0.012008999999999999
80,2026-07-12 09:18:18,gpt-5.6-luna,7306,0.007306,160,0.0009600000000000001,7466,0.008266
81,2026-07-12 09:18:24,gpt-5.6-luna,7215,0.007215,301,0.0018059999999999999,7516,0.009021
82,2026-07-12 09:18:25,gpt-5.6-luna,2727,0.002727,98,0.000588,2825,0.003315
83,2026-07-12 09:18:31,gpt-5.6-luna,8219,0.008219,257,0.001542,8476,0.009761
84,2026-07-12 09:18:33,gpt-5.6-luna,2731,0.002731,127,0.000762,2858,0.003493
85,2026-07-12 09:18:40,gpt-5.6-luna,7785,0.007785,377,0.002262,8162,0.010047
86,2026-07-12 09:19:03,gpt-5.6-luna,51862,0.051862,999,0.005994000000000001,52861,0.057856
87,2026-07-12 09:19:04,gpt-5.6-luna,2727,0.002727,131,0.000786,2858,0.0035129999999999996
88,2026-07-12 09:19:07,gpt-5.6-luna,2744,0.002744,196,0.001176,2940,0.00392
89,2026-07-12 09:19:08,gpt-5.6-luna,2729,0.002729,92,0.000552,2821,0.003281
90,2026-07-12 09:19:16,gpt-5.6-luna,9211,0.009211,560,0.0033599999999999997,9771,0.012571
91,2026-07-12 09:19:57,gpt-5.6-luna,136364,0.136364,4733,0.028398,141097,0.16476200000000002
92,2026-07-12 09:20:43,gpt-5.6-luna,166142,0.166142,4123,0.024738,170265,0.19088000000000002
93,2026-07-12 09:20:53,gpt-5.6-luna,8728,0.008728,359,0.002154,9087,0.010882
94,2026-07-12 09:21:00,gpt-5.6-luna,9225,0.009225,402,0.002412,9627,0.011637000000000002
95,2026-07-12 09:21:02,gpt-5.6-luna,3191,0.003191,94,0.0005639999999999999,3285,0.0037549999999999997
96,2026-07-12 09:21:09,gpt-5.6-luna,8648,0.008648,301,0.0018059999999999999,8949,0.010454
97,2026-07-12 09:21:11,gpt-5.6-luna,3192,0.003192,90,0.00054,3282,0.003732
98,2026-07-12 09:21:18,gpt-5.6-luna,9152,0.009152,294,0.001764,9446,0.010916
99,2026-07-12 09:21:20,gpt-5.6-luna,3196,0.003196,280,0.0016799999999999999,3476,0.004876
100,2026-07-12 09:21:26,gpt-5.6-luna,8054,0.008054,241,0.001446,8295,0.0095
101,2026-07-12 09:21:33,gpt-5.6-luna,11389,0.011389,373,0.002238,11762,0.013627
102,2026-07-12 09:21:35,gpt-5.6-luna,3192,0.003192,169,0.001014,3361,0.004206
103,2026-07-12 09:21:36,gpt-5.6-luna,3209,0.003209,117,0.0007019999999999999,3326,0.0039109999999999995
104,2026-07-12 09:21:38,gpt-5.6-luna,3194,0.003194,125,0.00075,3319,0.003944
105,2026-07-12 09:21:44,gpt-5.6-luna,8015,0.008015,239,0.001434,8254,0.009448999999999999
106,2026-07-12 09:22:24,gpt-5.6-luna,182021,0.182021,3933,0.023598,185954,0.205619
107,2026-07-12 09:22:43,gpt-5.6-luna,20964,0.020964,892,0.005352,21856,0.026316
108,2026-07-12 09:22:50,gpt-5.6-luna,8958,0.008958,295,0.00177,9253,0.010728000000000001
109,2026-07-12 09:22:51,gpt-5.6-luna,3081,0.003081,108,0.0006479999999999999,3189,0.0037289999999999997
110,2026-07-12 09:22:54,gpt-5.6-luna,3105,0.003105,162,0.000972,3267,0.004077
111,2026-07-12 09:22:55,gpt-5.6-luna,3082,0.003082,128,0.000768,3210,0.00385
112,2026-07-12 09:23:02,gpt-5.6-luna,8997,0.008997,372,0.002232,9369,0.011229
113,2026-07-12 09:23:05,gpt-5.6-luna,3086,0.003086,208,0.001248,3294,0.004334
114,2026-07-12 09:23:11,gpt-5.6-luna,8490,0.00849,233,0.001398,8723,0.009888
115,2026-07-12 09:23:13,gpt-5.6-luna,3107,0.003107,154,0.000924,3261,0.004031
116,2026-07-12 09:23:15,gpt-5.6-luna,3082,0.003082,124,0.0007440000000000001,3206,0.0038260000000000004
117,2026-07-12 09:23:17,gpt-5.6-luna,3099,0.003099,145,0.00087,3244,0.003969
118,2026-07-12 09:23:19,gpt-5.6-luna,3084,0.003084,129,0.000774,3213,0.003858
119,2026-07-12 09:23:20,gpt-5.6-luna,3104,0.003104,118,0.000708,3222,0.003812
120,2026-07-12 09:23:53,gpt-5.6-luna,86032,0.086032,4145,0.024870000000000003,90177,0.110902
121,2026-07-12 09:24:06,gpt-5.6-luna,22489,0.022489,2285,0.01371,24774,0.036198999999999995
122,2026-07-12 09:27:18,gpt-5.6-luna,28665,0.028665,964,0.005784,29629,0.034449
123,2026-07-12 09:27:26,gpt-5.6-luna,9096,0.009096,460,0.0027600000000000003,9556,0.011856
124,2026-07-12 09:27:27,gpt-5.6-luna,3226,0.003226,119,0.000714,3345,0.00394
125,2026-07-12 09:27:34,gpt-5.6-luna,8736,0.008736,304,0.001824,9040,0.01056
126,2026-07-12 09:27:35,gpt-5.6-luna,3227,0.003227,95,0.00057,3322,0.003797
127,2026-07-12 09:27:37,gpt-5.6-luna,3246,0.003246,131,0.000786,3377,0.004032
128,2026-07-12 09:27:38,gpt-5.6-luna,3231,0.003231,103,0.000618,3334,0.003849
129,2026-07-12 09:27:40,gpt-5.6-luna,3252,0.003252,185,0.0011099999999999999,3437,0.0043619999999999996
130,2026-07-12 09:27:57,gpt-5.6-luna,35363,0.035363,485,0.0029100000000000003,35848,0.038273
131,2026-07-12 09:27:59,gpt-5.6-luna,3227,0.003227,149,0.0008939999999999999,3376,0.004121
132,2026-07-12 09:28:00,gpt-5.6-luna,3244,0.003244,121,0.000726,3365,0.00397
133,2026-07-12 09:28:02,gpt-5.6-luna,3229,0.003229,105,0.00063,3334,0.003859
134,2026-07-12 09:28:10,gpt-5.6-luna,10300,0.0103,559,0.003354,10859,0.013654
135,2026-07-12 09:28:41,gpt-5.6-luna,89915,0.089915,3741,0.022446,93656,0.11236099999999999
136,2026-07-12 09:28:53,gpt-5.6-luna,10273,0.010273,661,0.003966,10934,0.014238999999999998
137,2026-07-12 09:29:00,gpt-5.6-luna,10467,0.010467,403,0.002418,10870,0.012885
138,2026-07-12 09:29:01,gpt-5.6-luna,2839,0.002839,131,0.000786,2970,0.0036249999999999998
139,2026-07-12 09:29:07,gpt-5.6-luna,7433,0.007433,252,0.0015119999999999999,7685,0.008945
140,2026-07-12 09:29:09,gpt-5.6-luna,2840,0.00284,119,0.000714,2959,0.003554
141,2026-07-12 09:29:15,gpt-5.6-luna,7784,0.007784,268,0.001608,8052,0.009392000000000001
142,2026-07-12 09:29:22,gpt-5.6-luna,7374,0.007374,370,0.0022199999999999998,7744,0.009594
143,2026-07-12 09:29:27,gpt-5.6-luna,7341,0.007341,209,0.0012540000000000001,7550,0.008595
144,2026-07-12 09:29:33,gpt-5.6-luna,9078,0.009078,216,0.0012959999999999998,9294,0.010374
145,2026-07-12 09:29:35,gpt-5.6-luna,2840,0.00284,163,0.0009780000000000001,3003,0.003818
146,2026-07-12 09:29:37,gpt-5.6-luna,2857,0.002857,115,0.0006900000000000001,2972,0.0035470000000000002
147,2026-07-12 09:29:39,gpt-5.6-luna,2842,0.002842,170,0.00102,3012,0.003862
148,2026-07-12 09:29:41,gpt-5.6-luna,2862,0.002862,145,0.00087,3007,0.003732
149,2026-07-12 09:29:57,gpt-5.6-luna,25666,0.025666,1054,0.006324,26720,0.031990000000000005
150,2026-07-12 09:30:15,gpt-5.6-luna,28865,0.028865,1534,0.009204,30399,0.038069
151,2026-07-12 09:33:28,gpt-5.6-luna,31719,0.031719,1192,0.0071519999999999995,32911,0.038870999999999996
152,2026-07-12 09:33:35,gpt-5.6-luna,9243,0.009243,391,0.002346,9634,0.011588999999999999
153,2026-07-12 09:33:38,gpt-5.6-luna,3215,0.003215,223,0.001338,3438,0.004553
154,2026-07-12 09:33:39,gpt-5.6-luna,3225,0.003225,113,0.000678,3338,0.0039030000000000002
155,2026-07-12 09:33:45,gpt-5.6-luna,9625,0.009625,317,0.001902,9942,0.011526999999999999
156,2026-07-12 09:33:47,gpt-5.6-luna,3224,0.003224,161,0.0009660000000000001,3385,0.00419
157,2026-07-12 09:33:50,gpt-5.6-luna,3212,0.003212,259,0.001554,3471,0.004766
158,2026-07-12 09:33:52,gpt-5.6-luna,3219,0.003219,143,0.000858,3362,0.004077
159,2026-07-12 09:33:58,gpt-5.6-luna,12633,0.012633,307,0.0018419999999999999,12940,0.014475
160,2026-07-12 09:34:06,gpt-5.6-luna,8865,0.008865,290,0.00174,9155,0.010605
161,2026-07-12 09:34:08,gpt-5.6-luna,3223,0.003223,155,0.00093,3378,0.0041530000000000004
162,2026-07-12 09:34:10,gpt-5.6-luna,3237,0.003237,126,0.0007559999999999999,3363,0.003993
163,2026-07-12 09:34:11,gpt-5.6-luna,3224,0.003224,168,0.001008,3392,0.004232
164,2026-07-12 09:34:14,gpt-5.6-luna,3227,0.003227,240,0.00144,3467,0.004667
165,2026-07-12 09:34:44,gpt-5.6-luna,39877,0.039877,4785,0.02871,44662,0.06858700000000001
166,2026-07-12 09:35:03,gpt-5.6-luna,13332,0.013332,3903,0.023417999999999998,17235,0.03675
167,2026-07-12 09:41:09,gpt-5.6-luna,16256,0.016256,1408,0.008448,17664,0.024704
168,2026-07-12 09:41:18,gpt-5.6-luna,12220,0.01222,391,0.002346,12611,0.014565999999999999
169,2026-07-12 09:41:29,gpt-5.6-luna,18934,0.018934,475,0.00285,19409,0.021783999999999998
170,2026-07-12 09:41:34,gpt-5.6-luna,11936,0.011936,238,0.001428,12174,0.013364000000000001
171,2026-07-12 09:41:41,gpt-5.6-luna,11864,0.011864,239,0.001434,12103,0.013297999999999999
172,2026-07-12 09:41:44,gpt-5.6-luna,4859,0.004859,211,0.001266,5070,0.006124999999999999
173,2026-07-12 09:41:46,gpt-5.6-luna,4847,0.004847,199,0.0011940000000000002,5046,0.0060409999999999995
174,2026-07-12 09:41:57,gpt-5.6-luna,22308,0.022308,455,0.00273,22763,0.025038
175,2026-07-12 09:42:14,gpt-5.6-luna,37485,0.037485,761,0.004566,38246,0.042051
176,2026-07-12 09:42:27,gpt-5.6-luna,26957,0.026957,615,0.0036899999999999997,27572,0.030646999999999997
177,2026-07-12 09:42:28,gpt-5.6-luna,4858,0.004858,138,0.000828,4996,0.005686
178,2026-07-12 09:42:30,gpt-5.6-luna,4872,0.004872,230,0.0013800000000000002,5102,0.006252
179,2026-07-12 09:42:32,gpt-5.6-luna,4859,0.004859,119,0.000714,4978,0.005573
180,2026-07-12 09:42:39,gpt-5.6-luna,12252,0.012252,427,0.002562,12679,0.014814
181,2026-07-12 09:43:22,gpt-5.6-luna,105642,0.105642,5764,0.034584000000000004,111406,0.14022600000000002
182,2026-07-12 09:43:43,gpt-5.6-luna,10101,0.010101,4180,0.025079999999999998,14281,0.035181
183,2026-07-12 09:43:59,gpt-5.6-luna,27736,0.027736,752,0.0045119999999999995,28488,0.032248
184,2026-07-12 09:44:09,gpt-5.6-luna,13946,0.013946,456,0.002736,14402,0.016682
185,2026-07-12 09:44:16,gpt-5.6-luna,12323,0.012323,347,0.0020819999999999996,12670,0.014405000000000001
186,2026-07-12 09:44:23,gpt-5.6-luna,11864,0.011864,209,0.0012540000000000001,12073,0.013118
187,2026-07-12 09:44:29,gpt-5.6-luna,11657,0.011657,228,0.001368,11885,0.013025
188,2026-07-12 09:44:36,gpt-5.6-luna,11308,0.011308,242,0.001452,11550,0.01276
189,2026-07-12 09:44:42,gpt-5.6-luna,11321,0.011321,260,0.0015599999999999998,11581,0.012881
190,2026-07-12 09:44:44,gpt-5.6-luna,4512,0.004512,128,0.000768,4640,0.00528
191,2026-07-12 09:44:50,gpt-5.6-luna,10508,0.010508,245,0.00147,10753,0.011977999999999999
192,2026-07-12 09:44:56,gpt-5.6-luna,12485,0.012485,272,0.001632,12757,0.014117
193,2026-07-12 09:44:58,gpt-5.6-luna,4516,0.004516,206,0.001236,4722,0.005752
194,2026-07-12 09:45:04,gpt-5.6-luna,10688,0.010688,218,0.0013080000000000001,10906,0.011996
195,2026-07-12 09:45:06,gpt-5.6-luna,4517,0.004517,124,0.0007440000000000001,4641,0.005261
196,2026-07-12 09:45:12,gpt-5.6-luna,10669,0.010669,261,0.0015660000000000001,10930,0.012235
197,2026-07-12 09:45:23,gpt-5.6-luna,10765,0.010765,1357,0.008142,12122,0.018907
SUMMARIZED,-,-,2895598,2.895598000000001,123963,0.7437779999999998,3019561,3.6393759999999986
