Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-12 08:59:19,gpt-5.6-luna,4897,0.004897,48,0.000288,4945,0.005185
2,2026-07-12 08:59:37,gpt-5.6-luna,11749,0.011749,1042,0.006252,12791,0.018001
3,2026-07-12 08:59:50,gpt-5.6-luna,26145,0.026145,920,0.005520000000000001,27065,0.031665
4,2026-07-12 09:00:17,gpt-5.6-luna,59991,0.059991,2858,0.017148,62849,0.077139
5,2026-07-12 09:00:30,gpt-5.6-luna,12838,0.012838,688,0.004128,13526,0.016966000000000002
6,2026-07-12 09:00:38,gpt-5.6-luna,7578,0.007578,492,0.002952,8070,0.01053
7,2026-07-12 09:00:41,gpt-5.6-luna,2354,0.002354,240,0.00144,2594,0.0037940000000000005
8,2026-07-12 09:00:49,gpt-5.6-luna,9175,0.009175,551,0.003306,9726,0.012481
9,2026-07-12 09:00:51,gpt-5.6-luna,2355,0.002355,179,0.0010739999999999999,2534,0.0034289999999999998
10,2026-07-12 09:00:52,gpt-5.6-luna,2374,0.002374,138,0.000828,2512,0.003202
11,2026-07-12 09:00:59,gpt-5.6-luna,6686,0.006686,245,0.00147,6931,0.008156
12,2026-07-12 09:01:05,gpt-5.6-luna,8134,0.008134,348,0.002088,8482,0.010222
13,2026-07-12 09:01:11,gpt-5.6-luna,10466,0.010466,280,0.0016799999999999999,10746,0.012145999999999999
14,2026-07-12 09:01:17,gpt-5.6-luna,7610,0.00761,248,0.0014880000000000002,7858,0.009098
15,2026-07-12 09:01:19,gpt-5.6-luna,2372,0.002372,141,0.0008460000000000001,2513,0.003218
16,2026-07-12 09:01:21,gpt-5.6-luna,2357,0.002357,155,0.00093,2512,0.003287
17,2026-07-12 09:01:22,gpt-5.6-luna,2377,0.002377,127,0.000762,2504,0.0031390000000000003
18,2026-07-12 09:01:46,gpt-5.6-luna,46099,0.046099,2942,0.017652,49041,0.063751
19,2026-07-12 09:02:03,gpt-5.6-luna,23057,0.023057,1933,0.011598,24990,0.034655000000000005
20,2026-07-12 09:02:21,gpt-5.6-luna,29385,0.029385,1056,0.0063360000000000005,30441,0.035721
21,2026-07-12 09:02:30,gpt-5.6-luna,7605,0.007605,472,0.002832,8077,0.010437
22,2026-07-12 09:02:33,gpt-5.6-luna,2405,0.002405,144,0.000864,2549,0.003269
23,2026-07-12 09:02:35,gpt-5.6-luna,2429,0.002429,238,0.001428,2667,0.003857
24,2026-07-12 09:02:37,gpt-5.6-luna,2406,0.002406,157,0.0009419999999999999,2563,0.0033480000000000003
25,2026-07-12 09:02:40,gpt-5.6-luna,2425,0.002425,213,0.001278,2638,0.003703
26,2026-07-12 09:02:42,gpt-5.6-luna,2410,0.00241,161,0.0009660000000000001,2571,0.0033759999999999997
27,2026-07-12 09:02:48,gpt-5.6-luna,6051,0.006051,197,0.0011819999999999999,6248,0.007233
28,2026-07-12 09:02:54,gpt-5.6-luna,8016,0.008016,308,0.001848,8324,0.009864000000000001
29,2026-07-12 09:02:56,gpt-5.6-luna,2406,0.002406,132,0.0007920000000000001,2538,0.0031980000000000003
30,2026-07-12 09:02:58,gpt-5.6-luna,2423,0.002423,146,0.000876,2569,0.003299
31,2026-07-12 09:02:59,gpt-5.6-luna,2408,0.002408,108,0.0006479999999999999,2516,0.0030559999999999997
