algorithm,metric,mean,std,median,min,max,ci95_low,ci95_high
ALS,NDCG@10,0.15965632776314834,0.0028820822515389023,0.15852406098755092,0.1572467802334412,0.1638246311960825,0.15713007128532316,0.1621825842409735
ALS,Precision@10,0.14837953091684436,0.0027516898114661958,0.14754797441364606,0.1457356076759062,0.15287846481876333,0.145967568452043,0.1507914933816457
Pop,NDCG@10,0.13670633242966854,0.001026564966024708,0.1366008093147987,0.13513639062275906,0.13784118843134713,0.13580650856310694,0.13760615629623013
Pop,Precision@10,0.11953091684434969,0.0006884385625144079,0.11950959488272922,0.11855010660980811,0.12046908315565032,0.11892747383809682,0.12013435985060256
