Precision@1,nDCG@1,Precision@5,nDCG@5,Precision@10,nDCG@10,dataset,seed,algorithm,n_users_eval
0.15884861407249468,0.15884861407249468,0.1505330490405117,0.16643693304554438,0.14594882729211092,0.1941995907090038,ml100k,1,ALS,938
0.0,0.0,0.0,0.0,0.0,0.0,ml100k,1,ItemKNN,938
0.20362473347547974,0.20362473347547974,0.13880597014925372,0.15649370418439013,0.11876332622601281,0.15213781835504792,ml100k,1,Pop,938
0.17270788912579957,0.17270788912579957,0.153091684434968,0.17075322474268068,0.14466950959488273,0.19489706010414615,ml100k,11,ALS,938
0.0,0.0,0.0,0.0,0.0,0.0,ml100k,11,ItemKNN,938
0.21535181236673773,0.21535181236673773,0.14669509594882732,0.16477394695550288,0.11737739872068231,0.15437968344567285,ml100k,11,Pop,938
0.18230277185501065,0.18230277185501065,0.15778251599147122,0.17309115456993981,0.1476545842217484,0.197124736848138,ml100k,21,ALS,938
0.0,0.0,0.0,0.0,0.0,0.0,ml100k,21,ItemKNN,938
0.21748400852878466,0.21748400852878466,0.1424307036247335,0.16307113002291063,0.123454157782516,0.16089280039514808,ml100k,21,Pop,938
0.16098081023454158,0.16098081023454158,0.15479744136460552,0.16660453702177755,0.1431769722814499,0.18916790264830716,ml100k,31,ALS,938
0.0,0.0,0.0,0.0,0.0,0.0,ml100k,31,ItemKNN,938
0.22068230277185502,0.22068230277185502,0.14498933901918976,0.16515909541285556,0.12153518123667377,0.16025670652938853,ml100k,31,Pop,938
0.1791044776119403,0.1791044776119403,0.16439232409381666,0.17887899471030785,0.14669509594882732,0.19779818338663835,ml100k,41,ALS,938
0.0,0.0,0.0,0.0,0.0,0.0,ml100k,41,ItemKNN,938
0.19936034115138593,0.19936034115138593,0.13582089552238807,0.15272771338135727,0.11130063965884862,0.14618073376069893,ml100k,41,Pop,938
0.04732992962605216,0.04732992962605216,0.03154408720850007,0.06226751692978946,0.024803366910445702,0.07830005059533644,amazon_vg,1,ALS,14494
0.0,0.0,0.0,0.0,0.0,0.0,amazon_vg,1,ItemKNN,14494
0.008900234579826135,0.008900234579826135,0.006582033945080723,0.012897069665896611,0.005602318200634746,0.016924934454418727,amazon_vg,1,Pop,14494
0.048295846557196084,0.048295846557196084,0.03188905754105147,0.0628333462108146,0.02484476335035187,0.079092700636014,amazon_vg,11,ALS,14494
0.0,0.0,0.0,0.0,0.0,0.0,amazon_vg,11,ItemKNN,14494
0.009659169311439217,0.009659169311439217,0.007023595970746517,0.0142450962206797,0.00572650752035325,0.018053837609274686,amazon_vg,11,Pop,14494
0.046088036428867114,0.046088036428867114,0.032358217193321374,0.06353570207528186,0.025051745549882713,0.07940570611735143,amazon_vg,21,ALS,14494
0.0,0.0,0.0,0.0,0.0,0.0,amazon_vg,21,ItemKNN,14494
0.008762246446805575,0.008762246446805575,0.0068856078377259565,0.013612775501070111,0.005650614047191942,0.01766708012942923,amazon_vg,21,Pop,14494
0.048364840623706364,0.048364840623706364,0.031433696702083624,0.0636928194221621,0.024761970470539532,0.0795651729333828,amazon_vg,31,ALS,14494
0.0,0.0,0.0,0.0,0.0,0.0,amazon_vg,31,ItemKNN,14494
0.008693252380295294,0.008693252380295294,0.006858010211121844,0.013702023307724546,0.005905892093279978,0.018204663512834698,amazon_vg,31,Pop,14494
0.05160756174968953,0.05160756174968953,0.03256519939285222,0.06518221162011967,0.025127639023044022,0.08093023759749735,amazon_vg,41,ALS,14494
0.0,0.0,0.0,0.0,0.0,0.0,amazon_vg,41,ItemKNN,14494
0.009176210845867255,0.009176210845867255,0.006637229198288948,0.013442675549253744,0.005712708707051194,0.01767133622017837,amazon_vg,41,Pop,14494
0.11284403669724771,0.11284403669724771,0.09467889908256881,0.1138076381899504,0.07899082568807339,0.12255551729049434,lastfm,1,ALS,1090
0.0,0.0,0.0,0.0,0.0,0.0,lastfm,1,ItemKNN,1090
0.04036697247706422,0.04036697247706422,0.04036697247706422,0.04635437215471517,0.03486238532110092,0.05196565620265663,lastfm,1,Pop,1090
0.13669724770642203,0.13669724770642203,0.09963302752293578,0.12320521442226574,0.08357798165137616,0.1319520452035019,lastfm,11,ALS,1090
0.0,0.0,0.0,0.0,0.0,0.0,lastfm,11,ItemKNN,1090
0.03394495412844037,0.03394495412844037,0.04036697247706422,0.04871862829068767,0.0355045871559633,0.05476388201773131,lastfm,11,Pop,1090
0.13577981651376148,0.13577981651376148,0.09504587155963302,0.12177715259707486,0.0781651376146789,0.13004818862368828,lastfm,21,ALS,1090
0.0,0.0,0.0,0.0,0.0,0.0,lastfm,21,ItemKNN,1090
0.04954128440366973,0.04954128440366973,0.044036697247706424,0.0537323751635501,0.03743119266055046,0.058805022456710966,lastfm,21,Pop,1090
0.12844036697247707,0.12844036697247707,0.09596330275229357,0.11866182140173406,0.08385321100917431,0.13067926614545264,lastfm,31,ALS,1090
0.0,0.0,0.0,0.0,0.0,0.0,lastfm,31,ItemKNN,1090
0.03853211009174312,0.03853211009174312,0.03963302752293578,0.04702486642395847,0.0381651376146789,0.056926718430404075,lastfm,31,Pop,1090
0.12385321100917432,0.12385321100917432,0.0961467889908257,0.12151858580372284,0.08027522935779817,0.13105219748219535,lastfm,41,ALS,1090
0.0,0.0,0.0,0.0,0.0,0.0,lastfm,41,ItemKNN,1090
0.044036697247706424,0.044036697247706424,0.04183486238532111,0.049523136441291075,0.038623853211009175,0.05714464840590668,lastfm,41,Pop,1090
