algorithm,metric,mean,std,min,max,best_seed,worst_seed,range
ALS,NDCG@10,0.1847141441193259,0.001855699110294096,0.1820726154181836,0.18670537340953908,37,59,0.004632757991355485
ALS,Precision@10,0.1649680170575693,0.0028889094247018716,0.16023454157782518,0.16727078891257996,37,23,0.007036247334754775
Pop,NDCG@10,0.13993465304296376,0.0022400598439517834,0.13736744564488634,0.14258176021896554,23,11,0.0052143145740791985
Pop,Precision@10,0.1229637526652452,0.003204152417436311,0.11855010660980811,0.1267590618336887,23,11,0.008208955223880599
