Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-12 02:40:38,gpt-5.6-terra,4897,0.0122425,61,0.000915,4958,0.013157499999999999
2,2026-07-12 02:40:55,gpt-5.6-terra,14121,0.0353025,1064,0.015960000000000002,15185,0.0512625
3,2026-07-12 02:41:19,gpt-5.6-terra,29357,0.0733925,1714,0.02571,31071,0.0991025
4,2026-07-12 02:41:46,gpt-5.6-luna,96508,0.096508,2683,0.016098,99191,0.112606
5,2026-07-12 02:41:55,gpt-5.4-mini,7473,0.0056047499999999995,252,0.001134,7725,0.00673875
6,2026-07-12 02:41:59,gpt-5.4-mini,6021,0.004515750000000001,144,0.000648,6165,0.005163750000000001
7,2026-07-12 02:42:01,gpt-5.4-mini,2386,0.0017895,90,0.00040500000000000003,2476,0.0021945000000000003
8,2026-07-12 02:42:02,gpt-5.4-mini,2365,0.00177375,63,0.0002835,2428,0.00205725
9,2026-07-12 02:42:06,gpt-5.4-mini,6697,0.0050227499999999994,147,0.0006615,6844,0.005684249999999999
10,2026-07-12 02:42:07,gpt-5.4-mini,2383,0.0017872500000000002,50,0.00022500000000000002,2433,0.00201225
11,2026-07-12 02:42:08,gpt-5.4-mini,2382,0.0017865,59,0.0002655,2441,0.002052
12,2026-07-12 02:42:09,gpt-5.4-mini,2389,0.00179175,66,0.000297,2455,0.00208875
13,2026-07-12 02:42:11,gpt-5.4-mini,2374,0.0017805,73,0.0003285,2447,0.0021089999999999998
14,2026-07-12 02:42:16,gpt-5.4-mini,6650,0.0049875,123,0.0005535000000000001,6773,0.005541
15,2026-07-12 02:42:17,gpt-5.4-mini,2383,0.0017872500000000002,76,0.000342,2459,0.00212925
16,2026-07-12 02:42:18,gpt-5.4-mini,2374,0.0017805,81,0.0003645,2455,0.002145
17,2026-07-12 02:42:21,gpt-5.4-mini,2370,0.0017775,57,0.0002565,2427,0.0020340000000000002
18,2026-07-12 02:42:54,gpt-5.6-luna,67057,0.067057,3714,0.022283999999999998,70771,0.089341
19,2026-07-12 02:43:02,gpt-5.4-mini,8613,0.00645975,271,0.0012194999999999999,8884,0.00767925
20,2026-07-12 02:43:03,gpt-5.4-mini,2492,0.001869,85,0.00038250000000000003,2577,0.0022515
21,2026-07-12 02:43:04,gpt-5.4-mini,2506,0.0018795,82,0.000369,2588,0.0022485
22,2026-07-12 02:43:06,gpt-5.4-mini,2485,0.00186375,72,0.000324,2557,0.00218775
23,2026-07-12 02:43:11,gpt-5.4-mini,6947,0.00521025,156,0.0007019999999999999,7103,0.005912249999999999
24,2026-07-12 02:43:18,gpt-5.4-mini,6938,0.0052035,150,0.0006749999999999999,7088,0.0058785
25,2026-07-12 02:43:22,gpt-5.4-mini,6923,0.005192250000000001,116,0.000522,7039,0.005714250000000001
26,2026-07-12 02:43:27,gpt-5.4-mini,8870,0.0066524999999999996,150,0.0006749999999999999,9020,0.0073275
27,2026-07-12 02:43:32,gpt-5.4-mini,8105,0.006078749999999999,132,0.000594,8237,0.006672749999999999
28,2026-07-12 02:43:34,gpt-5.4-mini,2488,0.001866,64,0.000288,2552,0.002154
29,2026-07-12 02:43:35,gpt-5.4-mini,2503,0.00187725,60,0.00027,2563,0.00214725
30,2026-07-12 02:43:36,gpt-5.4-mini,2494,0.0018705000000000002,88,0.000396,2582,0.0022665000000000003
31,2026-07-12 02:43:45,gpt-5.4-mini,2490,0.0018675,60,0.00027,2550,0.0021375
32,2026-07-12 02:44:22,gpt-5.6-luna,155557,0.155557,4355,0.02613,159912,0.181687
33,2026-07-12 02:45:03,gpt-5.4-mini,3426,0.0025694999999999997,134,0.000603,3560,0.0031725
34,2026-07-12 02:45:04,gpt-5.4-mini,3070,0.0023025,51,0.0002295,3121,0.002532
35,2026-07-12 02:45:09,gpt-5.4-mini,8392,0.006294,145,0.0006525,8537,0.0069465
36,2026-07-12 02:45:10,gpt-5.4-mini,3063,0.0022972500000000002,53,0.0002385,3116,0.0025357500000000002
37,2026-07-12 02:45:11,gpt-5.4-mini,3088,0.002316,75,0.00033749999999999996,3163,0.0026535
38,2026-07-12 02:45:13,gpt-5.4-mini,3081,0.00231075,80,0.00036,3161,0.00267075
39,2026-07-12 02:45:14,gpt-5.4-mini,3080,0.00231,66,0.000297,3146,0.002607
40,2026-07-12 02:45:15,gpt-5.4-mini,3087,0.00231525,72,0.000324,3159,0.00263925
41,2026-07-12 02:45:16,gpt-5.4-mini,3072,0.002304,64,0.000288,3136,0.002592
42,2026-07-12 02:45:17,gpt-5.4-mini,3066,0.0022995000000000003,66,0.000297,3132,0.0025965000000000003
43,2026-07-12 02:45:18,gpt-5.4-mini,3081,0.00231075,61,0.0002745,3142,0.00258525
44,2026-07-12 02:45:19,gpt-5.4-mini,3072,0.002304,57,0.0002565,3129,0.0025605000000000003
